id,nomeParlamentar,nomeCompleto,cargo,partido,mandato,sexo,uf,telefone,email,nascimento,fotoURL,gastoTotal,gastoPorDia
3399,DEMÓSTENES TORRES,DEMÓSTENES TORRES,SENADOR,S/PARTIDO,2011-2018,Masculino,GO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv3399.jpg,343471.410987854,235.0933682326174
5178,DOUGLAS CINTRA,DOUGLAS CINTRA,SENADOR,PTB,2011-2018,Masculino,PE,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5178.jpg,38786.45007324219,26.54787821577152
16,EDISON LOBÃO,EDISON LOBÃO,SENADOR,PMDB,2011-2018,Masculino,MA,,,,http://www.senado.leg.br/senadores/img/fotos/bemv16.jpg,0.0,0.0
4721,EDUARDO AMORIM,EDUARDO AMORIM,SENADOR,PSC,2011-2018,Masculino,SE,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4721.jpg,882624.3903239965,604.1234704476362
4994,EDUARDO BRAGA,EDUARDO BRAGA,SENADOR,PMDB,2011-2018,Masculino,AM,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4994.jpg,983572.0689697266,673.2183908074788
4767,EDUARDO LOPES,EDUARDO LOPES,SENADOR,PRB,2011-2018,Masculino,RJ,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4767.jpg,691397.6103425026,473.23587292436866
17,EDUARDO SUPLICY,EDUARDO SUPLICY,SENADOR,PT,2011-2018,Masculino,SP,,,,http://www.senado.leg.br/senadores/img/fotos/bemv17.jpg,641448.4391149059,439.0475284838507
394,ELISEU RESENDE,ELISEU RESENDE,SENADOR,DEM,2011-2018,Masculino,MG,,,,http://www.senado.leg.br/senadores/img/fotos/bemv394.jpg,0.0,0.0
20,EPITÁCIO CAFETEIRA,EPITÁCIO CAFETEIRA,SENADOR,PTB,2011-2018,Masculino,MA,,,,http://www.senado.leg.br/senadores/img/fotos/bemv20.jpg,618726.7103347778,423.4953527274318
4780,EUCLYDES MELLO,EUCLYDES MELLO,SENADOR,PRB,2011-2018,Masculino,AL,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4780.jpg,0.0,0.0
612,EUNÍCIO OLIVEIRA,EUNÍCIO OLIVEIRA,SENADOR,PMDB,2011-2018,Masculino,CE,,,,http://www.senado.leg.br/senadores/img/fotos/bemv612.jpg,0.0,0.0
1189,EXPEDITO JÚNIOR,EXPEDITO JÚNIOR,SENADOR,PSDB,2011-2018,Masculino,RO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv1189.jpg,0.0,0.0
4525,FERNANDO COLLOR,FERNANDO COLLOR,SENADOR,PTB,2011-2018,Masculino,AL,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4525.jpg,1660048.913860917,1136.2415563729753
2632,FERNANDO RIBEIRO,FERNANDO RIBEIRO,SENADOR,PMDB,2011-2018,Masculino,PA,,,,http://www.senado.leg.br/senadores/img/fotos/bemv2632.jpg,0.0,0.0
4873,FLEURY,FLEURY,SENADOR,DEM,2011-2018,Masculino,GO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4873.jpg,46006.26026058197,31.489568966859665
3634,FLEXA RIBEIRO,FLEXA RIBEIRO,SENADOR,PSDB,2011-2018,Masculino,PA,,,,http://www.senado.leg.br/senadores/img/fotos/bemv3634.jpg,1349768.1302337646,923.8659344515843
765,FRANCISCO DORNELLES,FRANCISCO DORNELLES,SENADOR,PP,2011-2018,Masculino,RJ,,,,http://www.senado.leg.br/senadores/img/fotos/bemv765.jpg,1402906.4414644241,960.2371262590173
